,CUSTOMER_CODE,ADDRESS_INTERNAL,STORE_CODE,ADDRESS_EXTERNAL
147,1M8720044,"788, Âu Cơ, Phường 14, Quận Tân Bình, Thành phố Hồ Chí Minh",CCG_627,"788 Âu Cơ, Phường 14, Quận Tân Bình, Tp.HCM"
556,1M8720046,"241, Cộng Hòa, Phường 13, Quận Tân Bình, Thành phố Hồ Chí Minh",CCG_626,"241 Cộng Hòa, Phường 13, quận Tân Bình, Thành phố Hồ Chí Minh"
752,1M8720047,"333-335, đường số 7, Phường Bình Trị Đông B, Quận Bình Tân, Thành phố Hồ Chí Minh",CCG_617,"333-335 Đường số 7, phường Bình Trị Đông B, quận Bình Tân, Thành phố Hồ Chí Minh"
953,1M8720049,"564A, Hương Lộ 2, Phường Bình Trị Đông, Quận Bình Tân, Thành phố Hồ Chí Minh",CCG_613,"564A Hương Lộ 2, Khu Phô 6, Phường Bình Trị Đông, Quận Bình Tân, Thành phố Hồ Chí Minh"
1286,1M8720051,"326, Lê Văn Lương, Phường Tân Hưng, Quận 7, Thành phố Hồ Chí Minh",CCG_536,"326 Lê Văn Lương, Phường Tân Hưng, Quận 7, TP.HCM"
1476,1M8720120,"Số 247, Hồng Bàng, Phường 11, Quận 5, Thành phố Hồ Chí Minh",CCG_521,"245 - 247 Hồng Bàng, Phường 11, Quận 5, Thành phố Hồ Chí Minh"
1641,1M8720121,"487, Tô Ngọc Vân, Phường Tam Phú, Quận Thủ Đức, Thành phố Hồ Chí Minh",CCG_481,"487 Tô Ngọc Vân, Khu Phố 1, Phường Tam Phú, Quận Thủ Đức, Thành phố Hồ Chí Minh"
1897,1M8720052,"75, Lâm Văn Bền, Phường Bình Thuận, Quận 7, Thành phố Hồ Chí Minh",CCG_532,"175 Lâm Văn Bền, khu phố 6, phường Bình Thuận, Quận 7, Thành phố Hồ Chí Minh"
2101,1M8720054,"28-30-30-34, Nguyễn Thị Thập, Phường Bình Thuận, Quận 7, Thành phố Hồ Chí Minh",CCG_531,"28-30-32-34 Nguyễn Thị Thập, Phường Bình Thuận, Quận 7, Thành phố. Hồ Chí Minh"
2313,1M8720056,"Grand View PMH, Nguyễn Đức Cảnh, Phường Tân Phong, Quận 7, Thành phố Hồ Chí Minh",CCG_538,"Grand View PMH, Nguyễn Đức Cảnh, P.Tân Phong, Q.7, Tp.HCM"
