province,district,ward,LONGITUDE,LATITUDE,ADDRESS,STORE_CODE
Đồng Tháp,Thành Phố Sa Đéc,Phường 2,105.75927,10.29036,"281-283 Nguyễn Sinh Sắc, P.2, Thành phố Sa Đéc, Đồng Tháp",CCG_0
Đồng Tháp,Thành Phố Sa Đéc,Phường An Hòa,105.745816,10.312308,"số K28 đường TL848, khóm Tân Hoà, phường An Hoà, Thành phố Sa Đéc, Đồng Tháp",CCG_1
Đồng Tháp,Thành Phố Cao Lãnh,Phường 1,105.6356667,10.4562028,"81 Nguyễn Huệ, Khóm 1, Phường 1, Thành phố Cao Lãnh, Tỉnh Đồng Tháp. (closed)",CCG_2
Đồng Tháp,Thành Phố Cao Lãnh,Phường 11,105.581783,10.485508,"1438 Quốc lộ 30, Khóm 3, Phường 11, Thành phố Cao Lãnh, Đồng Tháp",CCG_3
Đồng Tháp,Thành Phố Cao Lãnh,Phường 2,105.63745524043,10.456945221881,"Số 158 - 160 đường Nguyễn Huệ, Khóm 2, Phường 2, Thành Phố Cao Lãnh, Đồng Tháp",CCG_4
Đồng Tháp,Thành Phố Cao Lãnh,Phường 4,105.63065,10.4523,"76 Phạm Hữu Lầu, Phường 4, TP. Cao Lãnh, Đồng Tháp",CCG_5
Đồng Tháp,Huyện Lai Vung,Thị Trấn Lai Vung,105.659926,10.288449,"Quốc lộ 80, Khóm 1, Thị trấn Lai Vung, huyện Lai Vung, Đồng Tháp",CCG_6
Đồng Tháp,Huyện Lai Vung,Xã Tân Thành,105.593306,10.256959,"6A/TK Quốc Lộ 54, ấp Tân Khánh, xã Tân Thành, huyện Lai Vung, Đồng Tháp",CCG_7
Đồng Tháp,Huyện Lấp Vò,Thị Trấn Lấp Vò,105.52255,10.36254,"308 đường 3/2 khóm Bình Thạnh 1, Thị Trấn Lấp Vò, Huyện Lấp Vò, Tỉnh Đồng Tháp",CCG_8
Đồng Tháp,Huyện Tam Nông,Thị Trấn Tràm Chim,105.558331,10.671232,"đường Trần Hưng Đạo, Khóm 2, Thị trấn Tràm Chim, huyện Tam Nông, Đồng Tháp",CCG_9
Đồng Tháp,Huyện Tân Hồng,Thị Trấn Sa Rài,105.45094,10.88043,"51 đường Nguyễn Huệ, thị trấn Sa Rài, huyện Tân Hồng, Tỉnh Đồng Tháp",CCG_10
Đồng Tháp,Huyện Thanh Bình,Xã Bình Thành,105.541529,10.535244,"Quốc Lộ 30, Ấp Bình Chánh, xã Bình Thành, huyện Thanh Bình, Đồng Tháp",CCG_11
Đồng Tháp,Huyện Châu Thành,Thị Trấn Cái Tàu Hạ,105.873838,10.260352,"96-98 Quốc lộ 80, Khóm Phú Mỹ, Thị trấn Cái Tàu Hạ, huyện Châu Thành, Đồng Tháp.",CCG_12
Đồng Tháp,Huyện Tháp Mười,Thị Trấn Mỹ An,105.84366,10.5186," 201 - 203 Hùng Vương, khóm 4, thị trấn Mỹ An, huyện Tháp Mười, tỉnh Đồng Tháp",CCG_13
Đồng Tháp,Huyện Tháp Mười,Thị Trấn Mỹ An,105.847097,10.52558,"Đường Gò Tháp, Khóm 3, Thị trấn Mỹ An, huyện Tháp Mười, Đồng Tháp",CCG_14
Đắk Nông,Thị Xã Gia Nghĩa,Phường Nghĩa Thành,107.68459,12.00413,"17, 19, 21 Huỳnh Thúc Kháng, Phường Nghĩa Thành, Thị Xã Gia Nghĩa, tỉnh Đắk Nông",CCG_15
Đắk Nông,Huyện Krông Nô,Thị Trấn Đắk Mâm,107.86217474837,12.466629526718,"57 Nguyễn Tất Thành, Thị trấn Đắk Mâm, huyện Krông Nô, Đắk Nông",CCG_16
Đắk Lắk,Thị Xã Buôn Hồ,Phường An Lạc,108.2675922,12.9178608,"68 Trần Hưng Đạo, phường An Lạc, Thị xã Buôn Hồ, Đắk Lắk.",CCG_17
Đắk Lắk,Thành phố Buôn Ma Thuột,Xã Cư Êbur,108.028857,12.695162,"Số 2 Tỉnh lộ 5, xã Cư Ê Bur, Thành phố Buôn Ma Thuột, Đắk Lắk",CCG_18
Đắk Lắk,Thành phố Buôn Ma Thuột,Phường Ea Tam,108.0276993,12.6573625,"384 Lê Duẩn, P. Ea Tam, TP. Buôn Ma Thuột, Đắk Lắk",CCG_19
Đắk Lắk,Thành phố Buôn Ma Thuột,Phường Tân Lập,108.061454,12.6908818,"214 Nguyễn Tất Thành, P. Tân Lập, TP. Buôn Ma Thuột, Đắk Lắk",CCG_20
Đắk Lắk,Thành phố Buôn Ma Thuột,Phường Tân Lợi,108.0491914,12.6907037,"245 Phan Chu Trinh, Phường Tân Lợi, Thành Phố Buôn Ma Thuột, Tỉnh Đắk Lắk",CCG_21
Đắk Lắk,Thành phố Buôn Ma Thuột,Phường Tân Thành,108.0257657,12.6685172,"211 Mai Hắc Đế, phường Tân Thành, Thành phố Buôn Ma Thuột, Đắk Lắk",CCG_22
Đắk Lắk,Thành phố Buôn Ma Thuột,Phường Thắng Lợi,108.047971,12.684384,"16 Lê Thánh Tông, Thắng Lợi, Buôn Ma Thuột, Đắk Lắk",CCG_23
Đắk Lắk,Thành phố Buôn Ma Thuột,Phường Thành Công,108.0415,12.68381,"130 Đường Hoàng Diệu, Phường Thành Công, Thành phố Buôn Ma Thuộc, Tỉnh Đắk Lắk (closed)",CCG_24
Đắk Lắk,Thành phố Buôn Ma Thuột,Phường Thống Nhất,108.03301111579,12.682870504017,"350 Phan Bội Châu, phường Thống Nhất, Thành phố Buôn Ma Thuột, Đắk Lắk",CCG_25
Đắk Lắk,Huyện Ea Súp,Thị Trấn Ea Súp,107.883765,13.070579,"48 Hùng Vương, Tổ dân phố Hòa Bình, Thị trấn Ea Súp, huyện Ea Súp, Đắk Lắk",CCG_26
Đắk Lắk,Huyện Buôn Đôn,Xã Ea Bar,107.990218,12.769398,"36 Tỉnh lộ 685, thôn 18B, xã Ea Bar, huyện Buôn Đôn, Đắk Lắk",CCG_27
Đắk Lắk,Huyện Krông Bông,Thị Trấn Krông Kmar,108.338243,12.508384,"180 Nguyễn Tất Thành, Thị trấn Krông Kmar, huyện Krông Bông, Đắk Lắk",CCG_28
Đắk Lắk,Huyện Krông Pắc,Thị Trấn Phước An,108.30251,12.71058,"294-296 đường Giải Phóng, thị trấn Phước An, Huyện Krông Pắc, tỉnh Đắk Lắk",CCG_29
Yên Bái,Thành Phố Yên Bái,Phường Nguyễn Thái Học,104.8868662,21.711274," 6 Nguyễn Thái Học, phường Nguyễn Thái Học, Thành phố Yên Bái, Yên Bái",CCG_30
Vĩnh Phúc,Thành Phố Phúc Yên,Phường Hùng Vương,105.70732,21.23118,"147 Hai Bà Trưng, P. Hùng Vương, TX.Phúc Yên, Vĩnh Phúc",CCG_31
Vĩnh Long,Thành Phố Vĩnh Long,Phường 1,105.97249,10.252161,"47 Trưng Nữ Vương, Phường 1,Thành phố Vĩnh Long, Vinh Long",CCG_32
Vĩnh Long,Thành Phố Vĩnh Long,Phường 4,105.986996,10.231317," Số 64/6D Trần Phú, Phường 4, Thành phố Vĩnh Long, Tỉnh Vĩnh Long",CCG_33
Vĩnh Long,Huyện Trà Ôn,Thị Trấn Trà Ôn,105.924213,9.963657,"60/45D Thống Chế Điều Bát, Khu 3, Thị trấn Trà Ôn, huyện Trà Ôn, Vĩnh Long",CCG_34
Vĩnh Long,Huyện Tam Bình,Xã Song Phú,105.901556,10.117699,"Đường Số 7, Khu Đô Thị Mới Song Phú, ấp Phú Ninh, xã Song Phú, huyện Tam Bình, Vĩnh Long",CCG_35
Vĩnh Long,Huyện Tam Bình,Thị Trấn Tam Bình,105.996686,10.044145,"12 Phan Văn Đáng, Khóm 1, Thị trấn Tam Bình, huyện Tam Bình, Vĩnh Long",CCG_36
Vĩnh Long,Huyện Bình Minh,Phường Đông Thuận,105.835274,10.046248," 478 - 480 Lưu Nhơn Sâm, khóm Đông Thuận, phường Đông Thuận, Thị xã Bình Minh, Vĩnh Long",CCG_37
Vĩnh Long,Huyện Bình Minh,Phường Thành Phước,105.82161,10.0707,"Nguyễn Văn Thảnh , khóm 5, phường Thành Phước, Thị Xã Bình Minh, Tỉnh Vĩnh Long",CCG_38
Vĩnh Long,Huyện Vũng Liêm,Thị Trấn Vũng Liêm,106.18542,10.095684,"311-312 tờ bản đồ số 9, Nam Kỳ Khởi Nghĩa, khóm 2, Thị trấn Vũng Liêm, huyện Vũng Liêm, tỉnh Vĩnh Long",CCG_39
Trà Vinh,Thành Phố Trà Vinh,Phường 2,106.34121,9.93338,"62 Đường Điện Biên Phủ, khóm 3, Phường 2, thành phố Trà Vinh, tỉnh Trà Vinh",CCG_40
Trà Vinh,Thành Phố Trà Vinh,Phường 6,106.341381,9.923177,"12 Điện Biên Phủ, phường 6, thành phố Trà Vinh, tỉnh Trà Vinh",CCG_41
Trà Vinh,Huyện Cầu Kè,Thị Trấn Cầu Kè,106.055359,9.869831,"172 - 174 Đường 30/4, Khóm 4, Thị trấn Cầu Kè, huyện Cầu Kè, Trà Vinh",CCG_42
Tiền Giang,Thị Xã Cai Lậy,Phường 1,106.119616,10.411048,"2 đường 30/4, Khu Phố 1, Phường 1, Thị Xã Cai Lậy, Tiền Giang",CCG_43
Tiền Giang,Thị Xã Gò Công,Phường 2,106.67577,10.35929,"364-365 đường Nguyễn Huệ, Khu phố 3, Phường 2, Thị xã Gò Công, Tỉnh Tiền Giang",CCG_44
Tiền Giang,Thành Phố Mỹ Tho,Phường 2,106.37227,10.35501,"124 Đinh Bộ Lĩnh, Phường 2, Tp.Mỹ Tho, Tiền Giang",CCG_45
Tiền Giang,Thành Phố Mỹ Tho,Phường 5,106.3580203,10.364559,"42 Ấp Bắc, Phường 5, Tp. Mỹ Tho, Tiền Giang",CCG_46
Tiền Giang,Thành Phố Mỹ Tho,Phường 6,106.34207,10.35058,"57/8 Lê Thị Hồng Gấm, phường 6, thành phố Mỹ Tho, tỉnh Tiền Giang",CCG_47
Tiền Giang,Thành Phố Mỹ Tho,Phường 7,106.36476,10.36495,"68 Hùng Vương, Phường 7, Thành phố Mỹ Tho, Tiền Giang",CCG_48
Tiền Giang,Huyện Cái Bè,Thị Trấn Cái Bè,106.033537,10.338904,"210 Đường tỉnh lộ 875, Tổ 18, Khu 3, Thị trấn Cái Bè, Huyện Cái Bè, Tỉnh Tiền Giang.",CCG_49
Tiền Giang,Huyện Chợ Gạo,Xã Long Bình Điền,106.45034,10.35384,"Thửa đất số 98 & 99, ấp Long Thạnh, xã Long Bình Điền, Huyện Chợ Gạo, Tỉnh Tiền Giang",CCG_50
Tiền Giang,Huyện Châu Thành,Thị Trấn Tân Hiệp,106.34308,10.44992,"2/4 Quốc Lộ 1A, Ấp Rẫy, Thị Trấn Tân Hiệp, Huyện Chậu Thành, Tỉnh Tiền Giang",CCG_51
Tiền Giang,Huyện Châu Thành,Xã Tân Hương,106.369081,10.485234,"169/1 Quốc Lộ 1A, ấp Tân Hoà, xã Tân Hương, huyện Châu Thành, Tiền Giang",CCG_52
Tiền Giang,Huyện Châu Thành,Xã Tân Lý Tây,106.3474004,10.4577009,"458/2 Quốc Lộ 1A, Ấp Tân Phong, Xã Tân Lý Tây, Huyện Châu Thành, Tỉnh Tiền Giang",CCG_53
Tiền Giang,Huyện Gò Công Tây,Thị Trấn Vĩnh Bình,106.5788282,10.3571939," 39B Quốc Lộ 50, Khu phố 5, Thị trấn Vĩnh Bình, Huyện Gò Công Tây, Tỉnh Tiền Giang",CCG_54
Thừa Thiên Huế,Thị Xã Hương Thủy,Phường Phú Bài,107.6776277,16.4086686,"1136 - 1138 Nguyễn Tất Thành, phường Phú Bài, Thị xã Hương Thuỷ, Thừa Thiên Huế",CCG_55
Thừa Thiên Huế,Thành Phố Huế,Phường Phú Hội,107.59881,16.46842,"1 Bà Triệu, Phú Hội, Tp. Huế, Thừa Thiên Huế",CCG_56
Thừa Thiên Huế,Thành Phố Huế,Phường Phú Nhuận,107.59398,16.4635874,"35 Hà Nội, phường Phú Nhuận, Thành phố Huế, Thừa Thiên Huế",CCG_57
Thừa Thiên Huế,Thành Phố Huế,Phường Phước Vĩnh,107.592099,16.455967," 1 Trần Phú, phường Phước Vĩnh, Thành phố Huế, Thừa Thiên Huế",CCG_58
Thừa Thiên Huế,Thành Phố Huế,Phường Thuận Hòa,107.569554,16.469819,"39A Thạch Hãn, phường Thuận Hòa, Thành phố Huế, Thừa Thiên Huế",CCG_59
Thừa Thiên Huế,Thành Phố Huế,Phường Thuận Thành,107.581457,16.47582,"111 Mai Thúc Loan, phường Thuận Thành, Thành phố Huế, Thừa Thiên Huế",CCG_60
Thanh Hóa,Thành Phố Sầm Sơn,Phường Trung Sơn,105.89267246425,19.735951192067,"phường Trường Sơn, Thành phố Sầm Sơn, Thanh Hóa",CCG_61
Thanh Hóa,Thành Phố Thanh Hóa,Phường Ba Đình,105.7760737,19.803803,"300 - 302 Trần Phú, phường Ba Đình, Thành phố Thanh Hoá, Thanh Hoá",CCG_62
Thái Nguyên,Thành Phố Phổ Yên,Phường Ba Hàng,105.87038,21.41837,"662-664 Phạm Văn Đồng, Ba Hàng, Thị Xã Phổ Yên, Thái Nguyên",CCG_63
Thái Nguyên,Thành Phố Thái Nguyên,Phường Tân Lập,105.8351723,21.5714409,"GO! Thái Nguyên, Khu dân cư đường Việt Bắc, phường Tân Lập, thành phố Thái Nguyên, Thái Nguyên",CCG_64
Thái Bình,Thành Phố Thái Bình,Phường Phú Khánh,106.3216529,20.4395404,"Go! Thái Bình, đường Trần Thái Tông, phường Phú Khánh, Thành phố Thái Bình, Thái Bình",CCG_65
Tây Ninh,Thị Xã Hòa Thành,Xã Hiệp Tân,106.127146,11.285721,"15-17 Phạm Hùng, Khu phố 2, Thị trấn Hòa Thành, Tây Ninh",CCG_66
Tây Ninh,Thị Xã Hòa Thành,Xã Hiệp Tân,106.114562,11.294155," 363 Châu Văn Liêm, Ấp Hiệp Long, Xã Hiệp Tân, Thị xã Hoà Thành, tỉnh Tây Ninh.",CCG_67
Tây Ninh,Thị Xã Hòa Thành,Xã Long Thành Trung,106.130091,11.276944,"138 Tôn Đức Thắng, phường Long Thành Trung, Thị xã Hoà Thành, Tây Ninh",CCG_68
Tây Ninh,Thị Xã Trảng Bàng,Xã An Hòa,106.35487,11.03275,"Số 180 Quốc Lộ 22, Khu phố Lộc Du, Thị trấn Trảng Bàng, Trảng Bàng, Tây Ninh",CCG_69
Tây Ninh,Thị Xã Trảng Bàng,Xã An Tịnh,106.381987,11.026434,"Quốc Lộ 22, Tổ 6, Khu phố An Bình, phường An Tịnh, Thị xã Trảng Bàng, Tây Ninh",CCG_70
Tây Ninh,Thành Phố Tây Ninh,Phường 1,106.105016,11.329576,"483 Ba Mươi Tháng 4, Khu phố 1, Phường 1, Thành phố Tây Ninh, Tây Ninh",CCG_71
Tây Ninh,Thành Phố Tây Ninh,Phường 2,106.0909045,11.3162306,"232 Cách Mạng Tháng Tám, Khu phố 1, Phường 2, thành phố Tây Ninh, Tây Ninh",CCG_72
Tây Ninh,Thành Phố Tây Ninh,Phường 2,106.0885342,11.3093059,"134 Trưng Nữ Vương, Khu phố 1, Phường 2, Thành phố Tây Ninh, Tây Ninh",CCG_73
Tây Ninh,Thành Phố Tây Ninh,Phường 3,106.1080594,11.3083288,"518 Cách Mạng Tháng Tám, Phường 3, Thành phố Tây Ninh, Tây Ninh",CCG_74
Tây Ninh,Thành Phố Tây Ninh,Phường 3,106.10179,11.31106,"374  Cách Mạng Tháng 8, Phường 3, thành phố Tây Ninh, Tỉnh Tây Ninh (closed)",CCG_75
Tây Ninh,Thành Phố Tây Ninh,Phường 3,106.0986,11.317276,"404 Đường 30/4, Khu phố 1, Phường 3, Thành phố Tây Ninh, Tỉnh Tây Ninh",CCG_76
Tây Ninh,Thành Phố Tây Ninh,Phường 3,106.101696,11.300615,"154-156 đường 30 Tháng 4, Khu phố 4, Phường 3, Thành phố Tây Ninh, Tây Ninh",CCG_77
Tây Ninh,Thành Phố Tây Ninh,Phường 4,106.129,11.30514,"1186 Cách Mạng Tháng Tám, Khu phố 2, Phường 4, Thành phố Tây Ninh, Tỉnh Tây Ninh.",CCG_78
Tây Ninh,Thành Phố Tây Ninh,Phường Ninh Sơn,106.115401,11.337765,"438D- 440 Bời Lời, Khu phố Ninh Trung, phường Ninh Sơn, Thành phố Tây Ninh, Tây Ninh",CCG_79
Tây Ninh,Thành Phố Tây Ninh,Phường Ninh Thạnh,106.13255850971,11.307930612277,"713 Điện Biên Phủ, khu phố Ninh Phước, phường Ninh Thạnh, Thành phố Tây Ninh, Tây Ninh",CCG_80
Tây Ninh,Huyện Gò Dầu,Thị Trấn Gò Dầu,106.2654412,11.084042,"410 Quốc lộ 22B, Khu phố Nội ô A, Thị trấn Gò Dầu, Gò Dầu, Tây Ninh",CCG_81
Tây Ninh,Huyện Gò Dầu,Xã Phước Đông,106.32415,11.12122,"308 Tỉnh Lộ 782, xã Phước Đông, huyện Gò Dầu, Tây Ninh",CCG_82
Tây Ninh,Huyện Gò Dầu,Xã Phước Đông,106.3122,11.139578,"Số 15 đường ĐT782, ấp Phước Đức B, xã Phước Đông, huyện Gò Dầu, Tây Ninh",CCG_83
Tây Ninh,Huyện Tân Biên,Thị Trấn Tân Biên,106.0052079,11.5430187,"02- 04 Nguyễn Chí Thanh, Thị trấn Tân Biên, huyện Tân Biên, Tây Ninh",CCG_84
Tây Ninh,Huyện Tân Biên,Thị Trấn Tân Biên,105.98622120917,11.610620049363,"Đường 22B, ấp Tân Hòa, xã Tân Lập, Thị trấn Tân Biên, huyện Tân Biên, Tây Ninh",CCG_85
Tây Ninh,Huyện Tân Châu,Thị Trấn Tân Châu,106.161809,11.553314,"129 Tôn Đức Thắng, Khu Phố 1, Thị trấn Tân Châu, huyện Tân Châu, Tây Ninh",CCG_86
Tây Ninh,Huyện Tân Châu,Xã Tân Hưng,106.17097473144,11.469437599182,"Tỉnh lộ 785, Tổ 14, ấp Tân Tây, xã Tân Hưng, huyện Tân Châu, Tây Ninh",CCG_87
Tây Ninh,Huyện Châu Thành,Thị Trấn Châu Thành,106.0403884,11.3128299,"789 Hoàng Lê Kha, khu phố 4, thị trấn Châu Thành, huyện Châu Thành, tỉnh Tây Ninh (closed)",CCG_88
Tây Ninh,Huyện Châu Thành,Thị Trấn Châu Thành,106.031162,11.312127,"đường Hoàng Lê Kha, tổ 11, Khu Phố 3, Thị trấn Châu Thành, huyện Châu Thành, Tây Ninh",CCG_89
Tây Ninh,Huyện Dương Minh Châu,Thị Trấn Dương Minh Châu,106.22910160571,11.384082767943,"Số 298-300 Nguyễn Chí Thanh, Khu phố 2, Thị trấn Dương Minh Châu, huyện Dương Minh Châu, Tây Ninh",CCG_90
Tây Ninh,Huyện Dương Minh Châu,Xã Phan,106.20387744159,11.35304021604,"Số 611, đường ĐT 781, tổ 7, ấp Phước Tân 3, xã Phan, huyện Dương Minh Châu, Tây Ninh",CCG_91
Sóc Trăng,Thị Xã Ngã Năm,Phường 1,105.597842,9.564708,"1 Mai Thanh Thế, Khóm 1, Phường 1, Thị xã Ngã Năm, Sóc Trăng",CCG_92
Sóc Trăng,Thị Xã Vĩnh Châu,Phường 1,105.9804,9.32369," 39-41 Nguyễn Huệ, khóm 1, Phường 1, Thị xã Vĩnh Châu, Sóc Trăng",CCG_93
Sóc Trăng,Thành Phố Sóc Trăng,Phường 1,105.97418,9.60357,"31-33 Hai Bà Trưng, Phường 1, Tp. Sóc Trăng, Sóc Trăng",CCG_94
Sóc Trăng,Thành Phố Sóc Trăng,Phường 2,105.96666,9.5896,"167 Đường Trần Hưng Đạo, Phường 2, thành phố Sóc Trăng, Tỉnh Sóc Trăng",CCG_95
Sóc Trăng,Thành Phố Sóc Trăng,Phường 6,105.96919,9.61208,"79-81 Hùng Vương, Phường 6, Tp. Sóc Trăng, Sóc Trăng",CCG_96
