sentence_id,review_id,review,word_count,vader,textblob
1.1.1,1.1,It is such a nice and romantic restaurant for new couples and family getting back the sweet memories,18,1,1
1.1.2,1.1,Food is so nice with western courses,7,1,1
1.1.3,1.1,Drinks are interesting to enjoy,5,1,1
1.1.4,1.1,We had a very nice dinner with our boss and colleagues,11,1,1
1.1.5,1.1,Thank you for nice preparation as well,7,1,1
1.2.1,1.2,Food is marvelous,3,1,1
1.2.2,1.2,We ordered the French onion soup which is my favourite good as expected,13,1,1
1.2.3,1.2,The pear salad my friend loved it very much,9,1,1
1.2.4,1.2,The beef is good but the lamp rack is excellent so tender and delivious so I took more photo of it,21,1,1
1.2.5,1.2,There are three things that worth comment the restaurants seems too much emphasis on romantic place for meals it seems awkward if you are not a couple,27,1,0
1.2.6,1.2,The second thing is that we visited there for lunch it was very quiet and the waiters seems not yet woke up for customers,24,1,1
1.2.7,1.2,We were actually the only people there for the period,10,1,1
1.2.8,1.2,And the waiter there seemed very curious why there were people coming for lunch,14,1,0
1.2.9,1.2,The last thing is very disgusting I have taken a photo but deccided not to post,16,0,0
1.2.10,1.2,The washrom was very dirty and the wash basin left with some,12,0,0
1.2.11,1.2,I like the food but I am not sure I should go back again,14,0,0
1.2.12,1.2,May be dinner but absolutely not lunch,7,1,0
1.2.13,1.2,And please clean the toilet before you open for business,10,1,1
1.3.1,1.3,One of those fine dining experience I have in my life,11,1,1
1.3.2,1.3,Everything I ordered were incredibly tasty,6,1,1
1.3.3,1.3,I do not have enough vocabulary to describe,7,1,1
1.3.4,1.3,Just try it and I think you will love it,10,1,1
1.4.1,1.4,I have the 4 course set is around HKD 2XX per head The steak is so delicious So impressed Must try The environment is cozy with beautiful music,28,1,1
1.4.2,1.4,This restaurant is highly recommended,5,1,1
1.5.1,1.5,Fav place in sgn Amazing food luxurious atmosphere great for party family gatherings and dates They can decorate your table depend on your occasion perfect for taking pics,28,1,1
1.6.1,1.6,A small yet very interesting European fusion themed restaurant tucked away in District 1 just over the plaza from the hotel street,22,1,1
1.6.2,1.6,The menu is both comprehensive yet in no way compromises on either presentation or quality as each dish was fantastic quality,21,1,1
1.6.3,1.6,The owner was also quite involved with the desserts especially and was more than happy to explain how each one was made and presented which gave a nice personal touch,30,1,1
1.6.4,1.6,By local standards however this place can get pricey but for something different yet great I would easily recommend this place,21,1,1
1.7.1,1.7,We really wanted to eat beef steak,7,1,1
1.7.2,1.7,In the next steakhouse the price went for 2 million dong for 200g,13,1,1
1.7.3,1.7,And at the little door the price is 4 times cheaper,11,1,0
1.7.4,1.7,The steak is simply divine the coffee is delicious the desserts too,12,1,1
1.7.5,1.7,Remained extremely satisfied,3,1,1
1.7.6,1.7,Well come here many more times,6,1,1
1.7.7,1.7,the service is top notch,5,1,1
1.7.8,1.7,even for the sake of such hospitality,7,1,1
1.8.1,1.8,Went there for lunch and had a very nice time enjoying fine and sophisticated cuisine,15,1,1
1.8.2,1.8,Chef is quite inventive and doesn t hesitate to mix ingredients recipes and cultures,14,0,1
1.8.3,1.8,Staff was very nice and supportive even helped us with the kid so we can enjoy our dish,18,1,1
1.9.1,1.9,Nice cafe with good spaghetti,5,1,1
1.9.2,1.9,Love the truffle mushroom with veg option,7,1,1
1.9.3,1.9,Is a pricey one VND350K but is worth it,9,1,1
1.9.4,1.9,Personally does not like the overpowering black pepper taste that covered the truffle taste,14,0,0
1.9.5,1.9,Does not like the pizza as it is not thin crust,11,0,1
1.9.6,1.9,Hope to try other dishes next time,7,1,0
1.1.6,1.1,The place is quite romantic suitable for couples and small families,11,1,1
1.1.7,1.1,In the evening they light up candles and put roses plastic on all the tables regardless of whether you book in advance or not,24,1,1
1.1.8,1.1,They also have combo for decorations anniversary cakes,8,1,1
1.1.9,1.1,They mainly serve fusion food but it s okay just to order cakes and teas combo available too,18,1,1
1.1.10,1.1,The price is okay around 40 000 80 000 piece of cake,12,1,1
1.1.11,1.1,Taste a little sweeter than I thought but everything was fine,11,1,1
1.1.12,1.1,I like the vibe here,5,1,1
1.1.13,1.1,The staff was very kind he even spoke so softly that sometimes I could hardly hear what he was saying 10 VAT and 5 service charge,26,1,1
1.1.14,1.1,Parking next to Saigon Centre with fee,7,1,1
1.11.1,1.11,I had an afternoon tea with rum raisin ice cream,10,1,1
1.11.2,1.11,The rum raisin in the ice cream was so flavourful and perfectly went along with the home made ice cream,20,1,1
1.11.3,1.11,I knew that they are famous as a place to celebrate our anniversaries but actually didn t know that the deal is available at around 1 mil dong,28,1,1
1.11.4,1.11,It s literally a nobrainer given their excellent food quality and ambience,12,1,1
1.11.5,1.11,Besides the anniversary celebration they apparently have good deals on Monday and Tuesdays,13,1,1
1.11.6,1.11,So I will definitely come back for a feast,9,1,1
1.12.1,1.12,Excellent western restaurant with reasonable price,6,1,1
1.12.2,1.12,Good location only few minutes walking from Bitexco and Takashimaya,10,1,1
1.12.3,1.12,The staff is very friendly and well services,8,1,1
1.12.4,1.12,Will come back definitely,4,1,1
1.13.1,1.13,A tasty experience in European food with a specialty fusion menu for those who love to explore the more creative side of this restaurant,24,1,1
1.13.2,1.13,Cozy interior and decor with great personal touches here and there and great service makes dining here very enjoyable,19,1,1
1.14.1,1.14,The food here was fantastic and I had a great experience,11,1,1
1.14.2,1.14,I would personally like to thank Mr Tri Bao for serving us tonight,13,1,1
1.14.3,1.14,To anyone coming to this restaurant please ask for Mr Tri Bao because he provides excellent service and is very nice and helpful,23,1,1
1.14.4,1.14,I think this man needs a raise and should be promoted,11,1,1
1.14.5,1.14,The restaurant would not be the same without him,8,1,1
1.15.1,1.15,The Little Door surpassed expectations the food was delicious and we ll presented The staff were helpful friendly and took good care of us,24,1,1
1.16.1,1.16,Great atmosphere and really high quality food at a great price Will definitely return,14,1,1
1.17.1,1.17,In a tiny ally but environment service food are all good,11,1,1
1.17.2,1.17,Definitley the place that i will come visit again,9,1,1
1.18.1,1.18,Bad service Booking with system and use email double confirm already Actually manager received our reservation already when we arrived restaurant manager said no seat available and want us leave immediately,31,0,0
1.18.2,1.18,Worst service in HCM,4,0,0
1.19.1,1.19,Great environment service taste price also no expensive,8,1,1
1.2.14,1.2,This palace shocked you bcoz its location,7,0,0
1.2.15,1.2,its located in a side alley,6,1,1
1.2.16,1.2,but when you see this palace its super,8,1,1
1.2.17,1.2,presentation and food everything amazing,5,1,1
1.2.18,1.2,I ordered crispy chicken and my whole vietnam trip this is the best chicken i ate,16,1,1
1.2.19,1.2,so 5 star rating,4,1,1
1.21.1,1.21,Venue and decoration are very nice,6,1,1
1.21.2,1.21,Ideal for taking pictures,4,1,1
1.21.3,1.21,They actually decorate the table according to birthday or anniversary nice touch,12,1,1
1.21.4,1.21,However the food is very average,6,1,0
1.21.5,1.21,bread free is dry and tastes like 1 day old,10,1,1
1.21.6,1.21,lots of choices with truffle we chose the salmon tartare pasta with chicken ravioli but none of them taste truffle but rather heavy garlic,24,1,0
1.21.7,1.21,beef wellington was okay,4,1,1
1.22.1,1.22,Food is so so it s a place to take fancy photos with fancy decor,15,1,1
1.22.2,1.22,Expected much more quality food for the price,8,1,1
1.22.3,1.22,Typical place in Vietnam that focuses on looks rather than quality,11,1,0
1.22.4,1.22,Waiter work very quick though,5,1,1
1.23.1,1.23,The place is absolutely gorgeous the Milano pasta was perfectly cooked and the staffs are friendly,16,1,1
1.24.1,1.24,Planned to celebrate my fiance birthday so we went to inspect the restaurant,13,1,1
1.24.2,1.24,The restaurant looks nice so we wanted to reserve the particular table for next weekday,15,1,1
1.24.3,1.24,However we were told that we can reserve but they can not guarantee the table,15,0,1
1.24.4,1.24,Because the table is for 4 persons not 2 persons,10,1,1
1.24.5,1.24,So if they have 4 customers need the table we have to move to smaller table,16,1,1
1.24.6,1.24,What the hack What is the point of booking It is like they try to fish 2 fishes but only have one bait So we felt disgusting and walked away,30,0,0
1.24.7,1.24,I will ensure my family and friend not going to this restaurant,12,1,1
1.25.1,1.25,Beautiful restaurant with delicious black angus steak,7,1,1
1.26.1,1.26,Steak is very good highly recommend,6,1,1
1.26.2,1.26,Nice service too,3,1,1
1.27.1,1.27,Very nice set up restaurant,5,1,1
1.27.2,1.27,Romantic European style with fine dining concept but the price is almost half compared to others,16,1,1
1.28.1,1.28,One of the best places for celebrating your anniversary with someone you loved and the service also amazing,18,1,1
1.29.1,1.29,I came back last night,5,1,1
1.29.2,1.29,Still very good experience,4,1,1
1.29.3,1.29,Tried black angus riverside eye at the price of 528K for 200g,12,1,0
1.29.4,1.29,So tender and juicy with good price,7,1,1
1.3.5,1.3,Ah yes this place,4,1,1
1.3.6,1.3,We ordered two appetizers two entrees and two drinks,9,1,1
1.3.7,1.3,The appetizers went first then the two drinks,8,1,1
1.3.8,1.3,My friend then noticed three bugs on the one of the drinks and we proceed to returned it,18,1,1
1.3.9,1.3,Manager then made some excuses whether they checked it blah blah,11,0,1
1.3.10,1.3,Well we just want to returned the two entrees had the check and leave,14,1,1
1.3.11,1.3,Lo and behold they only took out the one drink that had the bugs and we couldn t cancel the two entrees even though the entrees weren t served yet,30,0,1
1.3.12,1.3,All and all very disappointed,5,0,0
1.3.13,1.3,Seems like all the money go to the nice decor and other things and not the standard,17,1,1
1.31.1,1.31,Great discovery The Little Door is literally a cute little door next to a massage place,16,1,1
1.31.2,1.31,Place is very cozy and well attended,7,1,0
1.31.3,1.31,Had the clam chowder and spaghetti a la bolognese,9,1,1
1.31.4,1.31,You can tell everything is homemade including the dinner rolls which can accompanied by truffle butter,16,1,1
1.31.5,1.31,bonus I understood from the owner that they re also a bakery,12,1,1
1.31.6,1.31,Portions are European standard great for a light but very tasty lunch,12,1,1
1.31.7,1.31,I can not wait to return for dinner,7,1,1
1.31.8,1.31,The pizza in the menu looked really good,8,1,1
1.32.1,1.32,Atmosphere was great portion was more than acceptable and they had lovely violin playing which was the icing on the cake,21,1,1
1.33.1,1.33,Well presented and prepared food,5,1,1
1.33.2,1.33,Service was good,3,1,1
1.33.3,1.33,If they want to attract the discerning clientele then for goodness sake change the god awful music,17,1,0
1.33.4,1.33,Soft soap Christian revival played in an endless loop is like torture for the soul,15,1,0
1.33.5,1.33,Heard the same bland softsoul cover versions at least four times,11,1,0
1.33.6,1.33,Maybe also take the lights down a bit,8,1,0
1.34.1,1.34,Shocking I am astounded at the high reviews The place is bloody incompetent,13,0,0
1.34.2,1.34,The picture of the salmon cake was massively deceptive,9,1,1
1.34.3,1.34,I reckon it was less than 50 grams 45 cm diameter and about 1cm thick you would expect that its a free sample The duck breast was ample size but over cooked tough dry Ordering was a game of charades,40,1,0
1.34.4,1.34,There is nothing worse than have some illiterate boy bobbing his head as if he understands and worse popping in the occasional okay its tantamount to lying and is just infuriating It took several tries to get him to go get someone that understands This place is damn hopeless do yourself a favor and avoid it,56,0,0
1.35.1,1.35,best european restaurant in ho chi minh city,5,1,1
1.35.2,1.35,Amazing food atmosphere and service,5,1,1
1.36.1,1.36,Always love this restaurant with delicious food and very nice decoration,11,1,1
1.37.1,1.37,Very nice restaurant with awesome wagyu steaks,7,1,1
1.38.1,1.38,Amazing restaurant with very special food WAGYU BEEF WELLINGTON,9,1,1
