id,name,rating,rating_count,address,district
1,The Little Door,4.5,345,"62 Trương Quyền, Phường 6, Quận 3, Thành phố Hồ Chí Minh 70000",Quận 3
2,Côn Sơn Restaurant & Lounge,4.3,114,"80-84 Trần Quốc Thảo, Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh 700000",Quận 3
3,Nhà Hàng Cơm Tấm Kim Kê,4.7,3,"60 Trường Sơn, Phường 2, Tân Bình, Thành phố Hồ Chí Minh",Tân Bình
4,Nhà Hàng Chả Cá Lã Vọng,4.4,17,"53 Đ. Lam Sơn, Phường 2, Tân Bình, Thành phố Hồ Chí Minh 700000",Tân Bình
5,Com Ngon & Cong Chua Pot Restaurant,3.9,15,"Parkson Tân Bình, 60A, Trường Sơn, Quận Tân Bình, Phường 2, Tân Bình, Thành phố Hồ Chí Minh",Tân Bình
6,Nhà Hàng Vựa Hải Sản Hòn Đảo,4.0,145,"48/1 Đ. Lam Sơn, Phường 2, Tân Bình, Thành phố Hồ Chí Minh",Tân Bình
7,Qua Ngon Restaurant,4.1,1,"308 Đ. Lê Văn Sỹ, Phường 1, Tân Bình, Thành phố Hồ Chí Minh 700000",Tân Bình
8,Nhà Hàng Hoa viên Tri Kỷ,4.0,1,"123 Đ. Hồng Hà, Phường 9, Phú Nhuận, Thành phố Hồ Chí Minh",Phú Nhuận
9,Dat Tien Sa Restaurant,3.8,145,"3 Đống Đa, Phường 2, Tân Bình, Thành phố Hồ Chí Minh",Tân Bình
10,Nhà hàng cây sung,3.7,232,"12c Đ. Bạch Đằng, Phường 2, Tân Bình, Thành phố Hồ Chí Minh",Tân Bình
11,Quán Ăn Huế Hoàng Gia,4.1,112,"42 Đ. Lam Sơn, Phường 2, Tân Bình, Thành phố Hồ Chí Minh 700000",Tân Bình
12,Nhà Hàng Hương Cau 1,4.0,1,"234 Đ. Lê Văn Sỹ, Phường 1, Tân Bình, Thành phố Hồ Chí Minh",Tân Bình
13,Nhà Hàng Cơm Niêu Trường Sơn,3.9,94,"46 Đ. Phan Đình Giót, Phường 2, Tân Bình, Thành phố Hồ Chí Minh 700000",Tân Bình
14,Nhà Hàng Vườn Dừa,3.5,194,"12 Đ. Phan Đình Giót, Phường 2, Tân Bình, Thành phố Hồ Chí Minh",Tân Bình
15,MỘC Riêu & Nướng,4.0,650,"9A Đ. Lam Sơn, Phường 2, Tân Bình, Thành phố Hồ Chí Minh",Tân Bình
16,Nhà hàng Hương Vị Bắc,3.7,3,"53 Đ. Lam Sơn, Phường 2, Tân Bình, Thành phố Hồ Chí Minh 700000",Tân Bình
17,Nhà Hàng Ẩm Thực Farm 2,3.9,145,"31 Yên Thế, Phường 2, Tân Bình, Thành phố Hồ Chí Minh",Tân Bình
18,Nhà Hàng Quế Lâm Quán,3.9,96,"2 Huỳnh Lan Khanh, Phường 2, Tân Bình, Thành phố Hồ Chí Minh",Tân Bình
19,Nhà Hàng Hoàng Long,4.3,96,"3 Phạm Văn Hai, Phường 1, Tân Bình, Thành phố Hồ Chí Minh",Tân Bình
20,Nhà hàng Sky,4.2,77,"200 Hoàng Văn Thụ, Phường 9, Phú Nhuận, Thành phố Hồ Chí Minh",Phú Nhuận
21,Garden Town Restaurant Tan Binh,3.8,1,"A2 Đ. Phan Đình Giót, Phường 2, Tân Bình, Thành phố Hồ Chí Minh",Tân Bình
22,Cơm Rang Dưa Bò,3.3,6,"48 Hồng Hà, Phường 2, Tân Bình, Thành phố Hồ Chí Minh",Tân Bình
23,Niêu Ta Lounge & Restaurant,4.5,53,"Hẻm 191, 191/5 Hoàng Văn Thụ, Phường 8, Phú Nhuận, Thành phố Hồ Chí Minh",Phú Nhuận
24,Nhà Hàng Cơm Niêu Việt Nam,4.0,215,"234 Đ. Cộng Hòa, Phường 12, Tân Bình, Thành phố Hồ Chí Minh",Tân Bình
25,Hansol Restaurant 한솔식당,4.4,1,"114 Thăng Long, Phường 4, Tân Bình, Thành phố Hồ Chí Minh",Tân Bình
26,Nhà Hàng Cây Mít,4.0,8,"21 Hậu Giang, Phường 4, Tân Bình, Thành phố Hồ Chí Minh",Tân Bình
27,Bún chả Vân Anh,4.0,448,"36 Hồng Hà, Phường 2, Tân Bình, Thành phố Hồ Chí Minh",Tân Bình
28,Nhà Hàng Lynh Anh,4.3,43,"191A Hoàng Văn Thụ, Phường 8, Phú Nhuận, Thành phố Hồ Chí Minh 70000",Phú Nhuận
29,Làng Vũ Đại Restaurant,4.1,86,"396 Đ. Lê Văn Sỹ, Phường 2, Tân Bình, Thành phố Hồ Chí Minh",Tân Bình
30,Cơm Cậu Cả,4.3,38,"58A Hồng Hà, Phường 2, Tân Bình, Thành phố Hồ Chí Minh",Tân Bình
31,Nhà Hàng Chef Mamma`s,4.2,468,"25 Hậu Giang, Phường 4, Tân Bình, Thành phố Hồ Chí Minh",Tân Bình
33,Nhà hàng Tokyo Deli,4.2,1,"4 Trường Sơn, Phường 2, Tân Bình, Thành phố Hồ Chí Minh",Tân Bình
34,Nhà Hàng Điểm Hẹn,4.0,23,"133 Đ. Hồng Hà, Phường 9, Phú Nhuận, Thành phố Hồ Chí Minh",Phú Nhuận
35,Big Bowl,2.0,17,"RM87+GHP, Phường 2, Tân Bình, Thành phố Hồ Chí Minh",Tân Bình
38,San Fu Lou - Cantonese Kitchen (Trường Sơn),4.2,101,"18A Trường Sơn, phường 02, Tân Bình, Thành phố Hồ Chí Minh 70000",Tân Bình
40,Yeebo Hotpot Seafood Restaurant,4.2,468,"76 Đ. Nguyễn Văn Trỗi, Phường 8, Phú Nhuận, Thành phố Hồ Chí Minh",Phú Nhuận
41,Nhà hàng Mu Cung Hoa,4.8,17,"14 Đ. Ba Vì, Phường 4, Tân Bình, Thành phố Hồ Chí Minh",Tân Bình
42,Nhà Hàng Tri Kì,4.3,4,"101 Đ. Hồng Hà, Phường 9, Phú Nhuận, Thành phố Hồ Chí Minh",Phú Nhuận
43,Nhà Hàng Tiệc Cưới Đông Phương,4.4,14,"431 Hoàng Văn Thụ, Phường 4, Tân Bình, Thành phố Hồ Chí Minh",Tân Bình
44,Hoang Yen Vietnamese Cuisine,4.1,626,"148 Hai Bà Trưng, Đa Kao, Quận 1, Thành phố Hồ Chí Minh 907777",Quận 1
46,191 Seafood Restaurant,4.4,15,"191A Hoàng Văn Thụ, Phường 8, Phú Nhuận, Thành phố Hồ Chí Minh",Phú Nhuận
47,Nhà Hàng Hàn Quốc Kim Gia,5.0,1,"112 Thăng Long, Phường 4, Tân Bình, Thành phố Hồ Chí Minh",Tân Bình
48,Quán 179,4.0,202,"B80 Đ. Bạch Đằng, Phường 2, Tân Bình, Thành phố Hồ Chí Minh",Tân Bình
49,Nhà Hàng Cơm Chay Hương Sen,4.4,389,"143 Hồ Văn Huê, Phường 9, Phú Nhuận, Thành phố Hồ Chí Minh",Phú Nhuận
50,Hoa Vien Brauhaus Tan Binh,4.1,1,"16 Đ. Phổ Quang, Phường 2, Tân Bình, Thành phố Hồ Chí Minh",Tân Bình
51,Nhà Hàng Hàu Né 3 Ngon - Bò Sốt Phố,3.0,6,"16-18 Hoàng Minh Giám, Phường 9, Phú Nhuận, Thành phố Hồ Chí Minh",Phú Nhuận
52,Nhà hàng hải sản Big seafood,5.0,2,"38 Đ. Bạch Đằng, Phường 2, Tân Bình, Thành phố Hồ Chí Minh",Tân Bình
53,Gia Dinh Ngon Restaurant,4.2,108,"234 Đ. Cộng Hòa, Phường 12, Tân Bình, Thành phố Hồ Chí Minh 72111",Tân Bình
54,Côn Đảo Quán.,3.6,22,"245 Hoàng Văn Thụ, Phường 1, Tân Bình, Thành phố Hồ Chí Minh",Tân Bình
55,Nhà Hàng Hải Sản Ba Ba Vang,3.5,15,"1 Đ. Phổ Quang, Phường 2, Tân Bình, Thành phố Hồ Chí Minh",Tân Bình
57,Tổ chức Tiệc và Sự Kiện | tiecBuffet.com,4.0,5,"66 Bàu Cát 1, Phường 8, Tân Bình, Thành phố Hồ Chí Minh",Tân Bình
58,Quán Dê TB,4.0,1,"102 Đ. Phổ Quang, Phường 2, Tân Bình, Thành phố Hồ Chí Minh",Tân Bình
59,Hong Kong Steam - Truong Son,3.6,19,"46 Trường Sơn, Phường 2, Tân Bình, Thành phố Hồ Chí Minh 70000",Tân Bình
60,Chillthai - thaifood,3.9,47,"41 Hồng Hà, Phường 2, Tân Bình, Thành phố Hồ Chí Minh",Tân Bình
61,Blanc. Restaurant Saigon,4.8,328,"180D Hai Bà Trưng, Street, Quận 1, Thành phố Hồ Chí Minh 700000",Quận 1
