review_id,rating,review,language
1.1,5,"It is such a nice and romantic restaurant for new couples and family getting back the sweet memories.
Food is so nice with western courses. Drinks are interesting to enjoy. We had a very nice dinner with our boss and colleagues. Thank you for nice preparation as well.",en
1.2,4,"Food is marvelous.
We ordered the French onion soup which is my favourite, good as expected.
The pear salad my friend loved it very much.
The beef is good but the lamp rack is excellent, so tender and delivious, so I took more photo of it.
There are three things that worth comment, the restaurants seems too much emphasis on romantic place for meals, it seems awkward if you are not a couple.
The second thing is that we visited there for lunch , it was very quiet and the waiters seems not yet woke up for customers. We were actually the only people there for the period. And the waiter there seemed very curious why there were people coming for lunch.
The last thing is very disgusting, I have taken a photo but deccided not to post. The washrom was very dirty and the wash basin left with some …………..
I like the food but I am not sure I should go back again. May be dinner but absolutely not lunch.
And please clean the toilet before you open for business.",en
1.3,5,One of those fine dining experience I have in my life.  Everything I ordered were incredibly tasty.  I dont have enough vocabulary to describe.  Just try it and I think you will love it.,en
1.4,5,I have the 4 course set is around HKD 2XX per head! The steak is so delicious! So impressed! Must try! The environment is cozy with beautiful music. This restaurant is highly recommended!,en
1.5,5,"Fav place in sgn
Amazing food, luxurious atmosphere, great for party, family gatherings and dates
They can decorate ur table depend on your occasion ❤️ perfect for taking pics",en
1.6,5,A small yet very interesting European fusion themed restaurant tucked away in District 1 just over the plaza from the hotel street. The menu is both comprehensive yet in no way compromises on either presentation or quality as each dish was fantastic quality. The owner was also quite involved with the desserts especially and was more than happy to explain how each one was made and presented which gave a nice personal touch. By local standards however this place can get pricey but for something different yet great I would easily recommend this place.,en
1.7,5,"We really wanted to eat beef steak.  In the next steakhouse, the price went for 2 million dong for 200g.  And at the little door, the price is 4 times cheaper.  The steak is simply divine, the coffee is delicious, the desserts too.  Remained extremely satisfied.  We’ll come here many more times.  the service is top notch.  even for the sake of such hospitality",en
1.8,5,"Went there for lunch and had a very nice time enjoying fine and sophisticated cuisine. Chef is quite inventive and doesn't hesitate to mix ingredients, recipes and cultures. Staff was very nice and supportive, even helped us with the kid so we can enjoy our dish!",en
1.9,4,"Nice cafe with good spaghetti.

Love the truffle mushroom (with veg option). Is a pricey one (VND350K) but is worth it. Personally does not like the overpowering black pepper taste that covered the truffle taste.

Does not like the pizza as it is not thin crust.

Hope to try other dishes next time.",en
1.10,5,"The place is quite romantic, suitable for couples and small families. In the evening, they light up candles and put roses (plastic) on all the tables regardless of whether you book in advance or not. They also have combo for decorations/ anniversary cakes. They mainly serve fusion food but it's ok just to order cakes and teas (combo available too). The price is ok, around 40,000 ~ 80,000/ piece of cake. Taste a little sweeter than I thought but everything was fine. I like the vibe here. The staff was very kind, he even spoke so softly that sometimes I could hardly hear what he was saying 🤣 10% VAT and 5% service charge.
Parking next to Saigon Centre (with fee).",en
