sentence_id,review_id,review,word_count
1.1.1,1.1,nice romantic restaurant new couple family getting back sweet memory,10
1.1.2,1.1,food nice western course,4
1.1.3,1.1,drink interesting enjoy,3
1.1.4,1.1,nice dinner bos colleague,4
1.1.5,1.1,thank nice preparation well,4
1.2.1,1.2,food marvelous,2
1.2.2,1.2,ordered french onion soup favourite good expected,7
1.2.3,1.2,pear salad friend loved much,5
1.2.4,1.2,beef good lamp rack excellent tender delivious took photo,9
1.2.5,1.2,three thing worth comment restaurant seems much emphasis romantic place meal seems awkward couple,14
1.2.6,1.2,second thing visited lunch quiet waiter seems yet woke customer,10
1.2.7,1.2,actually people period,3
1.2.8,1.2,waiter seemed curious people coming lunch,6
1.2.9,1.2,last thing disgusting taken photo deccided post,7
1.2.10,1.2,washrom dirty wash basin left,5
1.2.11,1.2,like food sure go back,5
1.2.12,1.2,may dinner absolutely lunch,4
1.2.13,1.2,please clean toilet open business,5
1.3.1,1.3,one fine dining experience life,5
1.3.2,1.3,everything ordered incredibly tasty,4
1.3.3,1.3,enough vocabulary describe,3
1.3.4,1.3,try think love,3
1.4.1,1.4, course set around hkd xx per head steak delicious impressed must try environment cozy beautiful music,16
1.4.2,1.4,restaurant highly recommended,3
1.5.1,1.5,fav place sgn amazing food luxurious atmosphere great party family gathering date decorate table depend occasion perfect taking pic,19
1.6.1,1.6,small yet interesting european fusion themed restaurant tucked away district  plaza hotel street,13
1.6.2,1.6,menu comprehensive yet way compromise either presentation quality dish fantastic quality,11
1.6.3,1.6,owner also quite involved dessert especially happy explain one made presented gave nice personal touch,15
1.6.4,1.6,local standard however place get pricey something different yet great would easily recommend place,14
1.7.1,1.7,really wanted eat beef steak,5
1.7.2,1.7,next steakhouse price went  million dong g,7
1.7.3,1.7,little door price  time cheaper,5
1.7.4,1.7,steak simply divine coffee delicious dessert,6
1.7.5,1.7,remained extremely satisfied,3
1.7.6,1.7,well come many time,4
1.7.7,1.7,service top notch,3
1.7.8,1.7,even sake hospitality,3
1.8.1,1.8,went lunch nice time enjoying fine sophisticated cuisine,8
1.8.2,1.8,chef quite inventive hesitate mix ingredient recipe culture,8
1.8.3,1.8,staff nice supportive even helped u kid enjoy dish,9
1.9.1,1.9,nice cafe good spaghetti,4
1.9.2,1.9,love truffle mushroom veg option,5
1.9.3,1.9,pricey one vndk worth,4
1.9.4,1.9,personally like overpowering black pepper taste covered truffle taste,9
1.9.5,1.9,like pizza thin crust,4
1.9.6,1.9,hope try dish next time,5
1.1.6,1.1,place quite romantic suitable couple small family,7
1.1.7,1.1,evening light candle put rose plastic table regardless whether book advance,11
1.1.8,1.1,also combo decoration anniversary cake,5
1.1.9,1.1,mainly serve fusion food okay order cake tea combo available,10
1.1.10,1.1,price okay around     piece cake,5
1.1.11,1.1,taste little sweeter thought everything fine,6
1.1.12,1.1,like vibe,2
1.1.13,1.1,staff kind even spoke softly sometimes could hardly hear saying  vat  service charge,13
1.1.14,1.1,parking next saigon centre fee,5
1.11.1,1.11,afternoon tea rum raisin ice cream,6
1.11.2,1.11,rum raisin ice cream flavourful perfectly went along home made ice cream,12
