review_id,rating,review,language
1.78,5,"Quán nằm trong 1 con đường nhỏ, diện tích quán cũng nhỏ nhưng bù lại decor theo phong cách châu Âu rất đẹp và sang trọng. Là 1 địa điểm check in ấn tượng. Bánh kem được tặng cũng rất đẹp.
Chỉ phù hợp cho cặp đôi, để cầu hôn thì quá chuẩn luôn. Đi nhóm kiểu gia đình bạn bè ko nên tới, nếu có thì nên đặt phòng riêng.",vi
1.79,5,"Mình đã để ý quán từ rất lâu nay mới có dịp sử dụng dịch vụ.
Quán nằm trong một con đường nhỏ với sự trang hoàng rất cổ kính theo kiểu Châu Âu
Mình đặt gói Deluxe để có phòng riêng
Mình phải nói sự chuyên nghiệp, riêng tư và cẩn thận
Quán trao đổi rất dễ thương, chuẩn bị đầy đủ chính xác và hiểu ý
Món ăn rất ngon, ngon từ sự bày trí, từ vị của món ăn, thứ tự lên món, cung cách phục vụ
Từng bước đều nhẹ nhàng, cẩn trọng
Sự hài lòng, rất hài lòng là điều mình có thể mô tả
P/s: bạn phục vụ hôm đó cho mình cực kỳ dễ thương",vi
1.80,5,"Nhân viên siêu nhiệt tình và thân thiện, chu đáo từ a - z
Không gian phòng ở tầng trệt khá nhỏ nhưng lại có tới 4 bàn, được cái decor xinh xẻo, đẹp mắt
Đồ ăn cũng khá ổn, ăn hợp khẩu vị, thời gian lên món món đầu hơi lâu, nhưng mấy món sau nhân viên canh giờ lên chuẩn nhé. Vì là nhà hàng nên giá như vậy là hợp lý với cả chất lượng và dịch vụ
Điểm trừ là nhà vệ sinh sạch sẽ nhưng hơi có mùi",vi
1.82,5,"Quán nằm trên 1 con đường nhỏ từ Điện Biển Phủ rẽ vào. Nơi đây phù hợp để đãi những buổi tiệc nhỏ nhỏ cho các cặp đôi. Nhà hàng decor theo phong cách Âu nhìn khá sang trọng, món ăn mình ăn thấy lạ lạ chắc ko hợp khẩu vị. Các bạn nào muốn riêng tư hoặc đi đông người thì nên book phòng riêng.",vi
1.83,4,"Không gian ấm cúng,lãng mạn,nhân viên nhiệt tình lịch sự,ban nhạc chơi rất hay,món ăn trong set menu vừa miệng vừa đủ lượng dùng .",vi
1.84,5,"Rất sang trọng, view đẹp. Phù hợp cho sum vầy gia đình bạn bè hoặc hẹn hò tình nhân. Ưng ý từ món ăn đến phục vụ
Chỉ tiếc là chỗ đỗ xe không đủ chỗ",vi
1.85,5,"Nhà hàng đẹp, lãng mạng theo phong cách hoàng gia, quý tộc. Ẩm thực rất ngon và đa dạng. Có dịch vụ đánh đàn theo yêu cầu, các bạn nhân viên rất nhiệt tình và đặc biệt bạn Phong quản lý nhà hàng còn nhiệt tình giúp đỡ quay phim, chụp ảnh. Tks^^!",vi
1.86,5,"Mình lựa chọn tổ chức sinh nhật cho người thương tại đây, thực sự cảm ơn Little Door đã hỗ trợ mình có 1 ngày đặc biệt.
Có chỗ đậu xe và nhân viên trông xe, không gian sang trọng, đồ ăn chế biến vừa đẹp mắt, vừa ngon, nhân viên lịch sự, nhiệt tình, chụp ảnh cho khách cũng đẹp 😘",vi
1.87,5,"Trải nghiệm mới tại nhà hàng âu mọi người ạ. Phong cách rất là sang luôn. Chưa kể món ăn ngon nữa, nhất là món steak wagyu ngon hết nước chấm. Mọi người nên dùng bữa cặp đôi hay group tiệc ở đây 1 lần để trải nghiệm độ chanh sả ở đây nha 😚😚😚 cảm ơn THE LITTLE DOOR nhiều nhé",vi
1.88,5,"1 nơi lý tưởng để hẹn hò. Thưởng thức món ăn tây trong một không gian ấm cúng, lãng mạn cùng với tiếng nhạc du dương, quả là tuyệt vời. Nhân viên dễ thương, chuyên nghiệp và tinh tế. Đồ ăn được trình bày đẹp mắt, khá hợp khẩu vị của mình, món bít tết được làm từ bò Angus mềm cùng với sốt tiêu khá đậm vị rất hài hòa, bò cuộn hơi dai nhưng tổng thể khá ổn. Món tiramisu đẹp lắm nhưng đưa mình cái thìa để ăn món tráng miệng này có vẻ không hợp để thưởng thức.",vi
1.89,5,"Không gian mang phong cách Châu Âu rất sang trọng, đẹp, món ăn ngon, tất cả các món rất vừa khẩu vị của mình. Nếu có 10 sao sẽ cho 10 sao. Tuyệt vời",vi
1.90,4,"Quán khá đẹp.
Tuy nhiên, hình thức trang trí đồ ăn hơi rối, phục vụ ko có khả năng gợi ý món ăn tốt.
Hương vị bình thường, không đặc sắc",vi
1.91,5,"Không gian quán tuyệt với. Món ăn trang trí đẹp và ngon. Mấy bạn phục vụ rất có tâm, chụp hình đẹp.  Bạn không nên bỏ qua một nơi tuyệt vời như vậy.",vi
